DUID,Station,Fuel,Region
-,Victoria Mill,Bioenergy,QLD1
ADPBA1,Adelaide Desalination Plant,Battery,SA1
ADPMH1,Adelaide Desalination Plant,Hydro,SA1
ADPPV1,Adelaide Desalination Plant,Solar - Utility,SA1
ADPPV2,Adelaide Desalination Plant,Solar - Utility,SA1
ADPPV3,Adelaide Desalination Plant,Solar - Utility,SA1
AGLHAL,Hallett Power Station,Other,SA1
AGLSOM,Somerton Power Station,Other,VIC1
ALDGASF1,Aldoga Solar Farm,Solar - Utility,QLD1
ANGAST1,Angaston Power Station,Other,SA1
APPIN,Appin Power Plant,Other,NSW1
ARWF1,Ararat Wind Farm,Wind,VIC1
AVLSF1,Avonlie Solar Farm,Solar - Utility,NSW1
BAKING1,Baking Board Solar Farm,Solar - Utility,QLD1
BALB1,Ballarat Battery Energy Storage System,Battery,VIC1
BALDHWF1,Bald Hills Wind Farm,Wind,VIC1
BANGOWF1,Bango 973 Wind Farm,Wind,NSW1
BANGOWF2,Bango 999 Wind Farm,Wind,NSW1
BANN1,Bannerton Solar Park,Solar - Utility,VIC1
BAPS,Banimboola Power Station,Hydro,VIC1
BARCALDN,Barcaldine Power Station,Other,QLD1
BARCSF1,Barcaldine Solar Farm,Solar - Utility,QLD1
BARKIPS1,Barker Inlet Power Station,Other,SA1
BARRON-1,Barron Gorge Power Station,Hydro,QLD1
BARRON-2,Barron Gorge Power Station,Hydro,QLD1
BASTYAN,Bastyan Power Station,Hydro,TAS1
BBATTERY1,Bouldercombe Battery Project,Battery,QLD1
BBTHREE1,Bell Bay Three Power Station,Other,TAS1
BBTHREE2,Bell Bay Three Power Station,Other,TAS1
BBTHREE3,Bell Bay Three Power Station,Other,TAS1
BDL01,Bairnsdale Power Station,Other,VIC1
BDL02,Bairnsdale Power Station,Other,VIC1
BDONGHYD,Burrendong Hydro Power Station,Hydro,NSW1
BERYLSF1,Beryl Solar Farm,Solar - Utility,NSW1
BHB1,Broken Hill Battery Energy Storage System,Battery,NSW1
BLNKTAS,Basslink HVDC Link,Other,TAS1
BLNKVIC,Basslink HVDC Link,Other,VIC1
BLOWERNG,Blowering Power Station,Hydro,NSW1
BLUEGSF1,Blue Grass Solar Farm,Solar - Utility,QLD1
BLUFF1,The Bluff Wind Farm,Wind,SA1
BLYTHB1,Blyth Battery Energy Storage System,Battery,SA1
BNGSF1,Bungala One Solar Farm,Solar - Utility,SA1
BNGSF2,Bungala Two Solar Farm,Solar - Utility,SA1
BOCORWF1,Boco Rock Wind Farm,Wind,NSW1
BODWF1,Bodangora Wind Farm,Wind,NSW1
BOLIVAR1,Bolivar Waste Water Treatment Plant,Bioenergy,SA1
BOLIVPS1,Bolivar Power Station,Other,SA1
BOMENSF1,Bomen Solar Farm,Solar - Utility,NSW1
BOWWBA1,Bolivar Waste Water Treatment Plant,Battery,SA1
BOWWDG1,Bolivar Waste Water Treatment Plant,Other,SA1
BOWWPV1,Bolivar Waste Water Treatment Plant,Solar - Utility,SA1
BPLANDF1,Browns Plains Landfill Gas PS,Bioenergy,QLD1
BRAEMAR1,Braemar Power Station,Other,QLD1
BRAEMAR2,Braemar Power Station,Other,QLD1
BRAEMAR3,Braemar Power Station,Other,QLD1
BRAEMAR5,Braemar 2 Power Station,Other,QLD1
BRAEMAR6,Braemar 2 Power Station,Other,QLD1
BRAEMAR7,Braemar 2 Power Station,Other,QLD1
BRDDSF01,Broadsound Solar Farm,Solar - Utility,QLD1
BRNDBES1,Brendale BESS,Battery,QLD1
BROKENH1,Broken Hill Solar Plant,Solar - Utility,NSW1
BROOKLYN,Brooklyn LFG U1-3,Bioenergy,VIC1
BROWNMT,Brown Mountain Hydro Power Station,Hydro,NSW1
BRYB1WF1,Berrybank Wind Farm,Wind,VIC1
BRYB2WF2,Berrybank 2 Wind Farm,Wind,VIC1
BULBES1,Bulgana Green Power Hub,Battery,VIC1
BULGANA1,Bulgana Green Power Hub,Wind,VIC1
BUNGAMB1,Bungama Battery Energy Storage System,Battery,SA1
BURRIN,Burrinjuck Hydro Power Station,Hydro,NSW1
BUSF1,Bundaberg Solar Farm,Solar - Utility,QLD1
BUTLERSG,Butlers Gorge Power Station,Hydro,TAS1
BW01,Bayswater Power Station,Other,NSW1
BW02,Bayswater Power Station,Other,NSW1
BW03,Bayswater Power Station,Other,NSW1
BW04,Bayswater Power Station,Other,NSW1
BWTR1,Broadwater Power Station,Bioenergy,NSW1
CALL_B_1,Callide Power Station,Other,QLD1
CALL_B_2,Callide Power Station,Other,QLD1
CAPBES1,Capital Battery,Battery,NSW1
CAPTL_WF,Capital Wind Farm,Wind,NSW1
CATHROCK,Cathedral Rocks,Wind,SA1
CBWF1,Coonooer Bridge Wind Farm,Wind,VIC1
CBWWBA1,Christies Beach Wastewater Treatment Plant,Battery,SA1
CBWWBG1,Christies Beach Wastewater Treatment Plant,Bioenergy,SA1
CBWWDG1,Christies Beach Wastewater Treatment Plant,Other,SA1
CBWWDG2,Christies Beach Wastewater Treatment Plant,Other,SA1
CBWWPV1,Christies Beach Wastewater Treatment Plant,Solar - Utility,SA1
CBWWPV2,Christies Beach Wastewater Treatment Plant,Solar - Utility,SA1
CESF1,Capital East Solar Farm,Solar - Utility,NSW1
CETHANA,Cethana Power Station,Hydro,TAS1
CG1,Colongra Power Station,Other,NSW1
CG2,Colongra Power Station,Other,NSW1
CG3,Colongra Power Station,Other,NSW1
CG4,Colongra Power Station,Other,NSW1
CGBESS01,Clements Gap BESS,Battery,SA1
CHALLHWF,Challicum Hills Wind Farm,Wind,VIC1
CHBESS1,"Chinchilla BESS, Units 1-80",Battery,QLD1
CHILDSF1,Childers Solar Farm,Solar - Utility,QLD1
CHPSTWF1,Chepstowe Wind Farm,Wind,VIC1
CHYTWF1,Cherry Tree Wind Farm,Wind,VIC1
CLARESF1,Clare Solar Farm,Solar - Utility,QLD1
CLAYTON,Clayton Landfill Gas Power Station,Bioenergy,VIC1
CLEMGPWF,Clements Gap Wind Farm,Wind,SA1
